series id,id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,notes
CAUR,CAUR,2024-12-11,2024-12-11,Unemployment Rate in California,1976-01-01,2024-10-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-11-20 10:50:02-06:00,64,
U6RATENSA,U6RATENSA,2024-12-11,2024-12-11,"Total Unemployed, Plus All Persons Marginally Attached to the Labor Force, Plus Total Employed Part Time for Economic Reasons, as a Percent of the Civilian Labor Force Plus All Persons Marginally Attached to the Labor Force (U-6)",1994-01-01,2024-11-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2024-12-06 07:46:23-06:00,9,The series comes from the 'Current Population Survey (Household Survey)'  The source code is: LNU03327709
CAURN,CAURN,2024-12-11,2024-12-11,Unemployment Rate in California,1976-01-01,2024-10-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2024-11-20 10:50:11-06:00,19,
LAUST060000000000003A,LAUST060000000000003A,2024-12-11,2024-12-11,Unemployment Rate in California,1976-01-01,2023-01-01,Annual,A,Percent,%,Not Seasonally Adjusted,NSA,2024-03-01 10:22:01-06:00,16,"These data come from the Current Population Survey (CPS), also known as the household survey.  Civilian Labor Force includes all persons in the civilian noninstitutional population ages 16 and older classified as either employed or unemployed.  Employed persons are all persons who, during the reference week (the week including the 12th day of the month), (a) did any work as paid employees, worked in their own business or profession or on their own farm, or worked 15 hours or more as unpaid workers in an enterprise operated by a member of their family, or (b) were not working but who had jobs from which they were temporarily absent because of vacation, illness, bad weather, childcare problems, maternity or paternity leave, labor-management dispute, job training, or other family or personal reasons, whether or not they were paid for the time off or were seeking other jobs. Each employed person is counted only once, even if he or she holds more than one job.  Unemployed persons are all persons who had no employment during the reference week, were available for work, except for temporary illness, and had made specific efforts to find employment some time during the 4 week-period ending with the reference week. Persons who were waiting to be recalled to a job from which they had been laid off need not have been looking for work to be classified as unemployed.  The unemployment rate is the unemployed percent of the civilian labor force [100 times (unemployed/civilian labor force)].  For more details, see the release's <a href=https://www.bls.gov/lau/laufaq.htm>frequently asked questions</a>."
M0892AUSM156SNBR,M0892AUSM156SNBR,2024-12-11,2024-12-11,Unemployment Rate for United States,1929-04-01,1942-06-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2012-08-17 14:26:06-05:00,54,"Series Is Presented Here As Three Variables--(1)--Seasonally Adjusted Data, 1929-1942 (2)--Seasonally Adjusted Data, 1940-1946 (3)--Original Data, 1947-1966. Source: National Industrial Conference Board, Published By G.H. Moore, Business Cycle Indicators, Vol. Ii, P. 35 And 123.  This NBER data series m08292a appears on the NBER website in Chapter 8 at http://www.nber.org/databases/macrohistory/contents/chapter08.html.  NBER Indicator: m08292a"
TXUR,TXUR,2024-12-11,2024-12-11,Unemployment Rate in Texas,1976-01-01,2024-10-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-11-20 10:49:03-06:00,56,
Q0892BUSQ156SNBR,Q0892BUSQ156SNBR,2024-12-11,2024-12-11,Unemployment Rate for United States,1940-04-01,1946-10-01,Quarterly,Q,Percent,%,Seasonally Adjusted,SA,2012-08-17 14:30:53-05:00,37,"Series Is Presented Here As Three Variables--(1)--Seasonally Adjusted, 1929-1942 (2)--Seasonally Adjusted, 1940-1946 (3)--Original Data, 1947-1966. Data Are Unemployment Expressed As A Percentage Of The Civilian Labor Force. Source: United States Bureau Of The Census, Current Population Reports: Labor Force Series P-50, Nos. 2, 13, And 19 (1940-1946, 1947-1948, And 1949 Annual Reports). Data Were Derived From NBER Series On Unemployment And Civilian Labor Force.  This NBER data series q08292b appears on the NBER website in Chapter 8 at http://www.nber.org/databases/macrohistory/contents/chapter08.html.  NBER Indicator: q08292b"
LNS14000024,LNS14000024,2024-12-11,2024-12-11,Unemployment Rate - 20 Yrs. & over,1948-01-01,2024-11-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-12-06 07:47:12-06:00,56,The series comes from the 'Current Population Survey (Household Survey)'  The source code is: LNS14000024
M0892BUSM156SNBR,M0892BUSM156SNBR,2024-12-11,2024-12-11,Unemployment Rate for United States,1940-01-01,1946-12-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2012-08-17 14:29:19-05:00,14,"Series Is Presented Here As Three Variables--(1)--Seasonally Adjusted, 1929-1942 (2)--Seasonally Adjusted, 1940-1946 (3)--Original Data, 1947-1966. Data Are Unemployment Expressed As A Percentage Of The Civilian Labor Force. Source: United States Bureau Of The Census, Current Population Reports: Labor Force Series P-50, Nos. 2, 13, And 19 (1940-1946, 1947-1948, And 1949 Annual Reports). Data Were Derived From NBER Series On Unemployment And Civilian Labor Force.  This NBER data series m08292b appears on the NBER website in Chapter 8 at http://www.nber.org/databases/macrohistory/contents/chapter08.html.  NBER Indicator: m08292b"
LNS14000031,LNS14000031,2024-12-11,2024-12-11,"Unemployment Rate - 20 Yrs. & over, Black or African American Men",1972-01-01,2024-11-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-12-06 07:47:12-06:00,56,The series comes from the 'Current Population Survey (Household Survey)'  The source code is: LNS14000031
TXURN,TXURN,2024-12-11,2024-12-11,Unemployment Rate in Texas,1976-01-01,2024-10-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2024-11-20 10:49:13-06:00,13,
M0892CUSM156NNBR,M0892CUSM156NNBR,2024-12-11,2024-12-11,Unemployment Rate for United States,1947-01-01,1966-12-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2012-08-17 14:27:35-05:00,5,"Series Is Presented Here As Three Variables--(1)--Seasonally Adjusted, 1929-1942 (2)--Seasonally Adjusted, 1940-1946 (3)--Original Data, 1947-1966. Beginning In April 1962 Labor Force Estimates Are Based On The 1960 Population Census. Source: Employment And Earnings And Monthly Report On The Labor Force, Vol. 13, No. 9, March 1967.  This NBER data series m08292c appears on the NBER website in Chapter 8 at http://www.nber.org/databases/macrohistory/contents/chapter08.html.  NBER Indicator: m08292c"
LAUST480000000000003A,LAUST480000000000003A,2024-12-11,2024-12-11,Unemployment Rate in Texas,1976-01-01,2023-01-01,Annual,A,Percent,%,Not Seasonally Adjusted,NSA,2024-03-01 10:24:03-06:00,10,"These data come from the Current Population Survey (CPS), also known as the household survey.  Civilian Labor Force includes all persons in the civilian noninstitutional population ages 16 and older classified as either employed or unemployed.  Employed persons are all persons who, during the reference week (the week including the 12th day of the month), (a) did any work as paid employees, worked in their own business or profession or on their own farm, or worked 15 hours or more as unpaid workers in an enterprise operated by a member of their family, or (b) were not working but who had jobs from which they were temporarily absent because of vacation, illness, bad weather, childcare problems, maternity or paternity leave, labor-management dispute, job training, or other family or personal reasons, whether or not they were paid for the time off or were seeking other jobs. Each employed person is counted only once, even if he or she holds more than one job.  Unemployed persons are all persons who had no employment during the reference week, were available for work, except for temporary illness, and had made specific efforts to find employment some time during the 4 week-period ending with the reference week. Persons who were waiting to be recalled to a job from which they had been laid off need not have been looking for work to be classified as unemployed.  The unemployment rate is the unemployed percent of the civilian labor force [100 times (unemployed/civilian labor force)].  For more details, see the release's <a href=https://www.bls.gov/lau/laufaq.htm>frequently asked questions</a>."
NYUR,NYUR,2024-12-11,2024-12-11,Unemployment Rate in New York,1976-01-01,2024-10-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-11-20 10:50:03-06:00,53,
LNU04000024,LNU04000024,2024-12-11,2024-12-11,Unemployment Rate - 20 Yrs. & over,1948-01-01,2024-11-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2024-12-06 07:46:43-06:00,6,The series comes from the 'Current Population Survey (Household Survey)'  The source code is: LNU04000024
NROUST,NROUST,2024-12-11,2024-12-11,Natural Rate of Unemployment (Short-Term) (DISCONTINUED),1949-01-01,2031-10-01,Quarterly,Q,Percent,%,Not Seasonally Adjusted,NSA,2021-02-01 14:37:07-06:00,53,"This series last appeared in the February, 2021 report: NROU (https://fred.stlouisfed.org/series/NROU)), formerly called ""Natural Rate of Unemployment (Long-Term).""  The natural rate of unemployment (NAIRU) is the rate of unemployment arising from all sources except fluctuations in aggregate demand. Estimates of potential GDP are based on the long-term natural rate. (CBO did not make explicit adjustments to the short-term natural rate for structural factors before the recent downturn.) The short-term natural rate incorporates structural factors that are temporarily boosting the natural rate beginning in 2008. The short-term natural rate is used to gauge the amount of current and projected slack in labor markets, which is a key input into CBO's projections of inflation."
U2RATE,U2RATE,2024-12-11,2024-12-11,Unemployment Rate - Job Losers (U-2),1967-01-01,2024-11-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-12-06 07:47:15-06:00,53,The series comes from the 'Current Population Survey (Household Survey)'  The source code is: LNS14023621
LNU04000031,LNU04000031,2024-12-11,2024-12-11,"Unemployment Rate - 20 Yrs. & over, Black or African American Men",1972-01-01,2024-11-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2024-12-06 07:46:42-06:00,5,The series comes from the 'Current Population Survey (Household Survey)'  The source code is: LNU04000031
FLUR,FLUR,2024-12-11,2024-12-11,Unemployment Rate in Florida,1976-01-01,2024-10-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-11-20 10:50:03-06:00,51,
NYURN,NYURN,2024-12-11,2024-12-11,Unemployment Rate in New York,1976-01-01,2024-10-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2024-11-20 10:50:15-06:00,12,
CC4WSA,CC4WSA,2024-12-11,2024-12-11,4-Week Moving Average of Continued Claims (Insured Unemployment),1967-01-28,2024-11-23,"Weekly, Ending Saturday",W,Number,Number,Seasonally Adjusted,SA,2024-12-05 07:33:07-06:00,51,"Continued claims, also referred to as insured unemployment, is the number of people who have already filed an initial claim and who have experienced a week of unemployment and then filed a continued claim to claim benefits for that week of unemployment. Continued claims data are based on the week of unemployment, not the week when the initial claim was filed."
LAUST360000000000003A,LAUST360000000000003A,2024-12-11,2024-12-11,Unemployment Rate in New York,1976-01-01,2023-01-01,Annual,A,Percent,%,Not Seasonally Adjusted,NSA,2024-03-01 10:20:03-06:00,7,"These data come from the Current Population Survey (CPS), also known as the household survey.  Civilian Labor Force includes all persons in the civilian noninstitutional population ages 16 and older classified as either employed or unemployed.  Employed persons are all persons who, during the reference week (the week including the 12th day of the month), (a) did any work as paid employees, worked in their own business or profession or on their own farm, or worked 15 hours or more as unpaid workers in an enterprise operated by a member of their family, or (b) were not working but who had jobs from which they were temporarily absent because of vacation, illness, bad weather, childcare problems, maternity or paternity leave, labor-management dispute, job training, or other family or personal reasons, whether or not they were paid for the time off or were seeking other jobs. Each employed person is counted only once, even if he or she holds more than one job.  Unemployed persons are all persons who had no employment during the reference week, were available for work, except for temporary illness, and had made specific efforts to find employment some time during the 4 week-period ending with the reference week. Persons who were waiting to be recalled to a job from which they had been laid off need not have been looking for work to be classified as unemployed.  The unemployment rate is the unemployed percent of the civilian labor force [100 times (unemployed/civilian labor force)].  For more details, see the release's <a href=https://www.bls.gov/lau/laufaq.htm>frequently asked questions</a>."
LNS14000002,LNS14000002,2024-12-11,2024-12-11,Unemployment Rate - Women,1948-01-01,2024-11-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-12-06 07:47:15-06:00,51,"To obtain estimates of women worker employment, the ratio of weighted women employees to the weighted all employees in the sample is assumed to equal the same ratio in the universe. The current month's women worker ratio, thus, is estimated and then multiplied by the all-employee estimate. The weighted-difference-link-and-taper formula (described in the source) is used to estimate the current month's women worker ratio. This formula adds the change in the matched sample's women worker ratio (the weighted-difference link) to the prior month's estimate, which has been slightly modified to reflect changes in the sample composition (the taper).  The series comes from the 'Current Population Survey (Household Survey)'  The source code is: LNS14000002"
U2RATENSA,U2RATENSA,2024-12-11,2024-12-11,Unemployment Rate - Job Losers (U-2),1967-01-01,2024-11-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2024-12-06 07:46:47-06:00,4,The series comes from the 'Current Population Survey (Household Survey)'  The source code is: LNU04023621
FLURN,FLURN,2024-12-11,2024-12-11,Unemployment Rate in Florida,1976-01-01,2024-10-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2024-11-20 10:50:15-06:00,12,
LAUST120000000000003A,LAUST120000000000003A,2024-12-11,2024-12-11,Unemployment Rate in Florida,1976-01-01,2023-01-01,Annual,A,Percent,%,Not Seasonally Adjusted,NSA,2024-03-01 10:17:02-06:00,7,"These data come from the Current Population Survey (CPS), also known as the household survey.  Civilian Labor Force includes all persons in the civilian noninstitutional population ages 16 and older classified as either employed or unemployed.  Employed persons are all persons who, during the reference week (the week including the 12th day of the month), (a) did any work as paid employees, worked in their own business or profession or on their own farm, or worked 15 hours or more as unpaid workers in an enterprise operated by a member of their family, or (b) were not working but who had jobs from which they were temporarily absent because of vacation, illness, bad weather, childcare problems, maternity or paternity leave, labor-management dispute, job training, or other family or personal reasons, whether or not they were paid for the time off or were seeking other jobs. Each employed person is counted only once, even if he or she holds more than one job.  Unemployed persons are all persons who had no employment during the reference week, were available for work, except for temporary illness, and had made specific efforts to find employment some time during the 4 week-period ending with the reference week. Persons who were waiting to be recalled to a job from which they had been laid off need not have been looking for work to be classified as unemployed.  The unemployment rate is the unemployed percent of the civilian labor force [100 times (unemployed/civilian labor force)].  For more details, see the release's <a href=https://www.bls.gov/lau/laufaq.htm>frequently asked questions</a>."
LNS13026638,LNS13026638,2024-12-11,2024-12-11,Unemployment Level - Permanent Job Losers,1994-01-01,2024-11-01,Monthly,M,Thousands of Persons,Thous. of Persons,Seasonally Adjusted,SA,2024-12-06 07:47:16-06:00,48,The series comes from the 'Current Population Survey (Household Survey)'  The source code is: LNS13026638
LNU04000002,LNU04000002,2024-12-11,2024-12-11,Unemployment Rate - Women,1948-01-01,2024-11-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2024-12-06 07:46:48-06:00,4,"To obtain estimates of women worker employment, the ratio of weighted women employees to the weighted all employees in the sample is assumed to equal the same ratio in the universe. The current month's women worker ratio, thus, is estimated and then multiplied by the all-employee estimate. The weighted-difference-link-and-taper formula (described in the source) is used to estimate the current month's women worker ratio. This formula adds the change in the matched sample's women worker ratio (the weighted-difference link) to the prior month's estimate, which has been slightly modified to reflect changes in the sample composition (the taper).  The series comes from the 'Current Population Survey (Household Survey)'  The source code is: LNU04000002"
UEMPMEAN,UEMPMEAN,2024-12-11,2024-12-11,Average Weeks Unemployed,1948-01-01,2024-11-01,Monthly,M,Weeks,Weeks,Seasonally Adjusted,SA,2024-12-06 07:47:17-06:00,45,The series comes from the 'Current Population Survey (Household Survey)'  The source code is: LNS13008275
CALOSA7URN,CALOSA7URN,2024-12-11,2024-12-11,"Unemployment Rate in Los Angeles County, CA",1990-01-01,2024-10-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2024-11-27 10:20:02-06:00,48,"These data come from the Current Population Survey (CPS), also known as the household survey.  Civilian Labor Force includes all persons in the civilian noninstitutional population ages 16 and older classified as either employed or unemployed.  Employed persons are all persons who, during the reference week (the week including the 12th day of the month), (a) did any work as paid employees, worked in their own business or profession or on their own farm, or worked 15 hours or more as unpaid workers in an enterprise operated by a member of their family, or (b) were not working but who had jobs from which they were temporarily absent because of vacation, illness, bad weather, childcare problems, maternity or paternity leave, labor-management dispute, job training, or other family or personal reasons, whether or not they were paid for the time off or were seeking other jobs. Each employed person is counted only once, even if he or she holds more than one job.  Unemployed persons are all persons who had no employment during the reference week, were available for work, except for temporary illness, and had made specific efforts to find employment some time during the 4 week-period ending with the reference week. Persons who were waiting to be recalled to a job from which they had been laid off need not have been looking for work to be classified as unemployed.  The unemployment rate is the unemployed percent of the civilian labor force [100 times (unemployed/civilian labor force)].  For more details, see the release's <a href=https://www.bls.gov/lau/laufaq.htm>frequently asked questions</a>."
LNU03026638,LNU03026638,2024-12-11,2024-12-11,Unemployment Level - Permanent Job Losers,1994-01-01,2024-11-01,Monthly,M,Thousands of Persons,Thous. of Persons,Not Seasonally Adjusted,NSA,2024-12-06 07:46:37-06:00,7,The series comes from the 'Current Population Survey (Household Survey)'  The source code is: LNU03026638
CGBD2534,CGBD2534,2024-12-11,2024-12-11,"Unemployment Rate - College Graduates - Bachelor's Degree, 25 to 34 years",2000-01-01,2024-11-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2024-12-06 08:50:03-06:00,48,The unemployment rate represents the number unemployed as a percent of the labor force.  The series comes from the 'Current Population Survey (Household Survey)'.
LNS14000009,LNS14000009,2024-12-11,2024-12-11,Unemployment Rate - Hispanic or Latino,1973-03-01,2024-11-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-12-06 07:47:16-06:00,46,The series comes from the 'Current Population Survey (Household Survey)'  The source code is: LNS14000009
LNS14000003,LNS14000003,2024-12-11,2024-12-11,Unemployment Rate - White,1954-01-01,2024-11-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-12-06 07:47:17-06:00,45,The series comes from the 'Current Population Survey (Household Survey)'  The source code is: LNS14000003
LNU03008275,LNU03008275,2024-12-11,2024-12-11,Average Weeks Unemployed,1948-01-01,2024-11-01,Monthly,M,Weeks,Weeks,Not Seasonally Adjusted,NSA,2024-12-06 07:46:28-06:00,11,The series comes from the 'Current Population Survey (Household Survey)'  The source code is: LNU03008275
LAUCN060370000000003A,LAUCN060370000000003A,2024-12-11,2024-12-11,"Unemployment Rate in Los Angeles County, CA",1990-01-01,2023-01-01,Annual,A,Percent,%,Not Seasonally Adjusted,NSA,2024-03-01 10:22:02-06:00,5,"These data come from the Current Population Survey (CPS), also known as the household survey.  Civilian Labor Force includes all persons in the civilian noninstitutional population ages 16 and older classified as either employed or unemployed.  Employed persons are all persons who, during the reference week (the week including the 12th day of the month), (a) did any work as paid employees, worked in their own business or profession or on their own farm, or worked 15 hours or more as unpaid workers in an enterprise operated by a member of their family, or (b) were not working but who had jobs from which they were temporarily absent because of vacation, illness, bad weather, childcare problems, maternity or paternity leave, labor-management dispute, job training, or other family or personal reasons, whether or not they were paid for the time off or were seeking other jobs. Each employed person is counted only once, even if he or she holds more than one job.  Unemployed persons are all persons who had no employment during the reference week, were available for work, except for temporary illness, and had made specific efforts to find employment some time during the 4 week-period ending with the reference week. Persons who were waiting to be recalled to a job from which they had been laid off need not have been looking for work to be classified as unemployed.  The unemployment rate is the unemployed percent of the civilian labor force [100 times (unemployed/civilian labor force)].  For more details, see the release's <a href=https://www.bls.gov/lau/laufaq.htm>frequently asked questions</a>."
PAUR,PAUR,2024-12-11,2024-12-11,Unemployment Rate in Pennsylvania,1976-01-01,2024-10-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-11-20 10:49:04-06:00,44,
LNU04000009,LNU04000009,2024-12-11,2024-12-11,Unemployment Rate - Hispanic or Latino,1973-03-01,2024-11-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2024-12-06 07:46:27-06:00,9,The series comes from the 'Current Population Survey (Household Survey)'  The source code is: LNU04000009
LNU04000003,LNU04000003,2024-12-11,2024-12-11,Unemployment Rate - White,1954-01-01,2024-11-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2024-12-06 07:46:25-06:00,13,The series comes from the 'Current Population Survey (Household Survey)'  The source code is: LNU04000003
UEMP27OV,UEMP27OV,2024-12-11,2024-12-11,Number Unemployed for 27 Weeks & over,1948-01-01,2024-11-01,Monthly,M,Thousands of Persons,Thous. of Persons,Seasonally Adjusted,SA,2024-12-06 07:47:18-06:00,42,The series comes from the 'Current Population Survey (Household Survey)'  The source code is: LNS13008636
LAUST420000000000003A,LAUST420000000000003A,2024-12-11,2024-12-11,Unemployment Rate in Pennsylvania,1976-01-01,2023-01-01,Annual,A,Percent,%,Not Seasonally Adjusted,NSA,2024-03-01 10:27:02-06:00,7,"These data come from the Current Population Survey (CPS), also known as the household survey.  Civilian Labor Force includes all persons in the civilian noninstitutional population ages 16 and older classified as either employed or unemployed.  Employed persons are all persons who, during the reference week (the week including the 12th day of the month), (a) did any work as paid employees, worked in their own business or profession or on their own farm, or worked 15 hours or more as unpaid workers in an enterprise operated by a member of their family, or (b) were not working but who had jobs from which they were temporarily absent because of vacation, illness, bad weather, childcare problems, maternity or paternity leave, labor-management dispute, job training, or other family or personal reasons, whether or not they were paid for the time off or were seeking other jobs. Each employed person is counted only once, even if he or she holds more than one job.  Unemployed persons are all persons who had no employment during the reference week, were available for work, except for temporary illness, and had made specific efforts to find employment some time during the 4 week-period ending with the reference week. Persons who were waiting to be recalled to a job from which they had been laid off need not have been looking for work to be classified as unemployed.  The unemployment rate is the unemployed percent of the civilian labor force [100 times (unemployed/civilian labor force)].  For more details, see the release's <a href=https://www.bls.gov/lau/laufaq.htm>frequently asked questions</a>."
PAURN,PAURN,2024-12-11,2024-12-11,Unemployment Rate in Pennsylvania,1976-01-01,2024-10-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2024-11-20 10:49:18-06:00,6,
OHUR,OHUR,2024-12-11,2024-12-11,Unemployment Rate in Ohio,1976-01-01,2024-10-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-11-20 10:50:04-06:00,41,
LNS13000001,LNS13000001,2024-12-11,2024-12-11,Unemployment Level - Men,1948-01-01,2024-11-01,Monthly,M,Thousands of Persons,Thous. of Persons,Seasonally Adjusted,SA,2024-12-06 07:47:20-06:00,42,The series comes from the 'Current Population Survey (Household Survey)'  The source code is: LNS13000001
LNS14000001,LNS14000001,2024-12-11,2024-12-11,Unemployment Rate - Men,1948-01-01,2024-11-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-12-06 07:47:18-06:00,41,The series comes from the 'Current Population Survey (Household Survey)'  The source code is: LNS14000001
MIUR,MIUR,2024-12-11,2024-12-11,Unemployment Rate in Michigan,1976-01-01,2024-10-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-11-20 10:50:05-06:00,38,
LNU03008636,LNU03008636,2024-12-11,2024-12-11,Number Unemployed for 27 Weeks & over,1948-01-01,2024-11-01,Monthly,M,Thousands of Persons,Thous. of Persons,Not Seasonally Adjusted,NSA,2024-12-06 07:46:32-06:00,10,The series comes from the 'Current Population Survey (Household Survey)'  The source code is: LNU03008636
OHURN,OHURN,2024-12-11,2024-12-11,Unemployment Rate in Ohio,1976-01-01,2024-10-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2024-11-20 10:50:15-06:00,12,
